id,name,host_total_listings_count,neighbourhood_group_cleansed,accommodates,price,has_availability,availability_365
18674,Huge flat for 8 people close to Sagrada Familia,48.0,Eixample,8,194.0,t,72
23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",13.0,Sant Martí,5,304.0,t,116
32711,Sagrada Familia area - Còrsega 1,15.0,Gràcia,6,211.0,t,319
34241,Stylish Top Floor Apartment - Ramblas Plaza Real,4.0,Ciutat Vella,2,300.0,t,69
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,4.0,Ciutat Vella,9,314.0,t,241
36463,Exquisite studio in Barcelona Born,3.0,Ciutat Vella,2,87.0,t,337
36763,In front of the beach,1.0,Ciutat Vella,1,,t,0
40983,Soho Colonial Eclectic Apartment,16.0,Eixample,4,164.0,t,278
41952,Modern Apartment - Sagrada Familia,8.0,Gràcia,4,190.0,t,295
49968,Sagrada Familia area - Còrsega 2,15.0,Gràcia,6,240.0,t,305
58512,Stylish & cozy 3BR near Sagrada Familia,1.0,Sant Martí,5,144.0,t,10
331026,Small basic room in a nice shared  apt,4.0,Eixample,2,,t,303
335861,Modern Flat,8.0,Sant Martí,5,191.0,t,334
337755,SEALONA VILA OLIMPICA BEACH,15.0,Sant Martí,4,209.0,t,98
341563,lc New Quiet Apartment-Suite Ideal 1-2 people,417.0,Les Corts,2,120.0,t,365
343858,Céntrico Apartamento de 2 habitaciones en Gracia.,58.0,Gràcia,6,219.0,t,56
343861,Apartamento 1 habitación y balcón  en Gracia,58.0,Eixample,4,181.0,t,85
343864,3 BD APT IN THE HEART OF GRACIA VIRREINA,58.0,Gràcia,7,191.0,t,91
68547,Spacious 2 bedroom flat special offer 40% OFF,5.0,Ciutat Vella,4,150.0,t,363
71520,Charming apartment with fantastic views!,2.0,Gràcia,9,,t,363
71553,Best deals for penthouse near Sagrada Familia!,18.0,Eixample,2,186.0,t,326
71736,Long term entire months more than 32 nitghts,13.0,Ciutat Vella,4,68.0,t,311
343866,COSY 3BD  APARTMENT + 2 BATH IN GRACIA VIRREINA,58.0,Gràcia,7,196.0,t,67
343972,Magic Fountain B&B WI-FI DOBLE ROOM,3.0,Sants-Montjuïc,2,,t,0
345129,Charming apartment by  Barcelona sailing harbour,3.0,Ciutat Vella,3,70.0,t,87
346018,Room in a flat with Barcelona best view!,4.0,Sant Martí,4,200.0,t,354
347824,"bmes Ideal Happy Location Beach Area, Old Town",417.0,Ciutat Vella,3,,t,365
351395,Garden House - 3BR Apt with amazing Terrrace,34.0,Eixample,6,229.0,t,305
352772,"Charming penthouse, city center, private car park.",11.0,Eixample,5,167.0,t,263
353640,Great Apartment in Heart of Born,2.0,Ciutat Vella,6,176.0,t,191
72436,Lugaris Beach Business Apartment,9.0,Sant Martí,3,258.0,t,231
72793,Long  Term Colorist apartment minimon 32 nights,13.0,Ciutat Vella,2,60.0,t,334
72794,LONG TERM FANTASTIC APARTMENT MINIMUM 32 NIGHTS,13.0,Ciutat Vella,2,60.0,t,365
73683,Sagrada Familia area for 12 people,15.0,Gràcia,12,500.0,t,297
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,10.0,Sant Martí,6,181.0,t,69
80004,Parc Montjuic HUTB-004026 58,1.0,Sants-Montjuïc,5,140.0,t,196
357576,"Vintage Home ""El patio de Gracia""",3.0,Gràcia,3,212.0,t,230
359841,"BacRou, design loft near the sea",17.0,Sant Martí,4,150.0,t,211
360863,SPECIAL OFFER @ COSY AND CHARMING,4.0,Ciutat Vella,2,,,0
363601,stylish flat in barcelona center,21.0,Ciutat Vella,2,60.0,t,248
364030,Beatiful Terrace in Bcn center  HUTB-OO1094,2.0,Eixample,4,221.0,t,310
365911,"Low-priced,Super Reviewed Apartment",5.0,Eixample,4,265.0,t,335
370665,"vig2 Right in El Born, old town, happy apartment!",417.0,Ciutat Vella,6,,t,365
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,6.0,Eixample,2,95.0,t,21
89756,"bcn-rentals ramblas 9, right in the city centre",9.0,Ciutat Vella,8,370.0,t,288
89776,Modernist aparment in the heart of the city,76.0,Eixample,3,169.0,t,292
373667,"mp2 An excellent apartment in El Born, old town",417.0,Ciutat Vella,3,,t,358
377161,Rustic apartment Parc Guell II,2.0,Gràcia,4,144.0,t,316
384063,nap2 Happy & Quiet 3 bedroom & 2 bathrooms flat!,417.0,Eixample,6,310.0,t,365
384155,Barcelona Center Beach Top Design,4.0,Ciutat Vella,4,234.0,t,363
384464,Paseo de Gracia / Plaza Catalunya,6.0,Eixample,2,800.0,t,338
385049,MIRADOR 3 Bedroom Apartment Port Vell,155.0,Ciutat Vella,6,550.0,t,18
95719,Lovely room  in the heart of Barcelona with A/C,3.0,Ciutat Vella,2,90.0,t,365
97529,Furnished one bedroom apartment with bathroom,3.0,Gràcia,2,47.0,t,0
110041,002. Alió 2 Apartment,108.0,Gràcia,4,94.0,t,292
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,19.0,Eixample,8,301.0,t,104
117010,✨Spacious Flat near Sagrada Familia/Shared terrace,19.0,Eixample,8,294.0,t,102
118228,✨Bright apt views Sagrada Familia / Shared terrace,19.0,Eixample,8,337.0,t,96
128463,Private Suite in residential area!!,1.0,Sants-Montjuïc,2,157.0,t,319
135513,Poble Nou Apartment a 3 minutos de la Playa,2.0,Sant Martí,6,182.0,t,321
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",8.0,Les Corts,1,42.0,t,270
393717,Cosy apartment near Las Ramblas,14.0,Ciutat Vella,4,159.0,t,290
399772,Rocafort nice & bright 3 stops away Pza Cataluña,7.0,Eixample,2,155.0,t,78
402369,ob41 Great 2 bedr flat close to Las Ramblas center,417.0,Ciutat Vella,5,270.0,t,365
408599,A charming 3 bedroom apartment with balcony,1.0,Sants-Montjuïc,7,174.0,t,300
417239,Sunny apparment with terrace in Gracia,1.0,Gràcia,4,110.0,t,155
424137,Spacious apartment by Las Ramblas,14.0,Ciutat Vella,5,297.0,t,130
424294,pdf3 TRENDY 1 BEDR. FLAT IN EL BORN,417.0,Ciutat Vella,4,259.0,t,365
