X;Y;OBJECTID;Comunidad_;Provincia;Codigo_in;Termino_M;Identifica;Nombre;Longitud;Grado_ocup;Paseo_mar;Condicione;Zona_fonde;Nudismo;Vegetacio;Bandera_az;Auxilio_y_;Señalizac;Autobus;Aparcamien;Aseos;Lavapies;Duchas
-180.403.999.999.374;277.615.999.995.066;709;Canarias;Santa Cruz de Tenerife;38013;Frontera;604;Charco Azul;8;Bajo;0;Oleaje moderado;0;0;1;0;1;0;0;1;0;0;0
-629.360.000.039.035;435.696.999.991.695;525;"Asturias; Principado de";Asturias;33021;Cudillero;410;El Riego;10;Bajo;0;Oleaje fuerte;0;0;1;0;0;0;0;0;0;0;0
-903.060.000.037.967;425.205.999.988.134;1821;Galicia;A Coruña;15073;Ribeira;1859;Penisqueira;10;Bajo;1;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;0
-898.369.999.964.489;425.448.999.988.072;1840;Galicia;A Coruña;15073;Ribeira;1868;Touro;10;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;1;0;1;0
343.039.999.984.509;396.331.999.992.724;2526;Illes Balears;Illes Balears;7062;Son Servera;2518;Es Torrent d'Es Morts;10;Bajo;0;Oleaje moderado;1;0;1;0;0;0;1;1;0;0;0
341.080.000.002.069;397.568.999.987.588;2532;Illes Balears;Illes Balears;7006;Artà;2524;Cala Dèntol;10;Bajo;0;Oleaje moderado;1;1;1;0;0;0;1;0;0;0;0
346.110.000.013.836;397.200.999.988.461;3195;Illes Balears;Illes Balears;7014;Capdepera;200703;Cala Lliteras;10;Bajo;1;Oleaje moderado;0;0;0;0; ; ; ;1;0;0;0
318.170.000.038.666;418.859.999.990.582;3284;Cataluña/Catalunya;Girona;17117;Palafrugell;201707;Cala Sant Roc;10;Bajo;0;Oleaje moderado;1;0;1;0;0;0;0;1;0;0;0
-902.559.999.996.614;425.196.999.991.773;3526;Galicia;A Coruña;15073;Ribeira;301541;A Covasa;10;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;1;0;0;0
-906.850.000.037.008;425.756.999.990.653;1732;Galicia;A Coruña;15073;Ribeira;1852;Ribeiriña;12;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;0;0;0;0
121.800.000.012.391;388.948.999.989.879;2272;Illes Balears;Illes Balears;7048;Sant Josep de sa Talaia;2269;Cala Truja;12;Bajo;0;Aguas tranquilas;1;0;0;0;0;0;0;0;0;0;0
-192.260.000.000.766;433.332.999.988.309;3497;País Vasco/Euskadi;Gipuzkoa;20064;Pasaia;402001;Alabortza;12;Medio;1;Oleaje moderado / Ventosa;0;0,5;1;0;0;0;1;0;1;0;1
312.399.999.965.697;421.299.999.990.237;3290;Cataluña/Catalunya;Girona;17062;L'Escala;201713;Cala del Pedrigolet;13;Bajo;0;Aguas tranquilas; ; ;1;0;0;0;1;0;0;0;0
-890.869.999.973.018;432.931.999.991.901;3257;Galicia;A Coruña;15068;Ponteceso;201516;Niño do Corvo;14;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;0;0;0;0
322.680.000.007.425;419.643.999.992.961;855;Cataluña/Catalunya;Girona;17013;Begur;961;Aiguafreda;15;Medio;0;Aguas tranquilas;1;0;1;0;0;0;0;1;1; ;1
321.520.000.001.319;419.379.999.990.744;939;Cataluña/Catalunya;Girona;17013;Begur;958;Platja d'en Malaret;15;Alto;0;Aguas tranquilas;1;0;1;0;1;1;0;0;0; ;0
318.190.000.040.317;41.886.399.998.967;1028;Cataluña/Catalunya;Girona;17117;Palafrugell;1045;Els Canyers;15;Medio;0;Oleaje moderado;0;0;0;0;0;0;0;0;0;0;1
-907.120.000.014.424;425.741.999.990.579;1731;Galicia;A Coruña;15073;Ribeira;1851;Ribeira Grande;15;Medio;0;Aguas tranquilas;1;0;0;0;0;0;1;1;0;0;0
-882.200.000.019.531;422.854.999.988.906;2149;Galicia;Pontevedra;36008;Cangas;2173;Cova de Balea;15;Bajo;0;Aguas tranquilas;0;0;1;0;0;0;1;1;0;0;0
337.080.000.030.572;395.577.999.988.573;2341;Illes Balears;Illes Balears;7033;Manacor;2360;Cala Morlanda;15;Bajo;0;Oleaje moderado;0;0;1;0;0;0;1;0;0;0;0
294.950.000.004.708;391.481.999.989.145;2394;Illes Balears;Illes Balears;7040;Palma de Mallorca;2429;Caló d'Es Palangres;15;Bajo;0;Aguas tranquilas;1;0;1;0;0;0;0;0;0;0;0
-147.650.000.039.285;374.597.999.989.832;2651;"Murcia; Región de";Murcia;30003;Águilas;2662;El Pozo;15;Bajo;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
-134.594.000.001.528;291.323.999.995.301;3012;Canarias;Las Palmas;35010;Haría;3034;El Charcón;15;Medio;0;Aguas tranquilas;0;0;0;0;0;0;1;1;0;0;0
419.789.999.999.026;398.342.999.993.131;3142;Illes Balears;Illes Balears;7032;Maó;200706;Cala Binidali;15;Medio;0;Oleaje moderado;0;0;1;0;0;0;0;1;0;0;0
